x,Curve1
-171.87,-2.519
-163.68,-1.191
-154.77,-1.492
-146.63,-3.271
-134.78,-4.904
-128.09,-4.759
-124.34,-2.542
-120.61,-1.213
-110.19,0.705
-101.98,3.068
-95.29,4.1
-76.71,4.683
-61.08,7.338
-46.25,5.999
-36.68,0.077
-27.1,-4.809
-17.5,-8.512
-4.86,-7.335
-1.06,-1.42
-0.24,3.758
-0.16,9.083
17.69,10.997
39.98,12.17
51.17,15.419
67.53,16.742
85.39,19.544
100.93,15.69
104.61,14.061
108.37,16.722
111.26,11.395
119.45,12.722
131.3,10.941
146.95,14.928
155.18,18.918
169.97,14.916
191.38,6.474
201.03,6.321
215.04,-0.639
238.7,-7.307
249.86,-6.129
277.14,-19.16
299.45,-17.248
307.02,-7.193
332.25,-8.241
359.02,-6.035
382.8,-4.863
393.9,-7.384
417.73,-2.81
